The Ring (1927),The Farmers Wife (1928),Champagne (1928),The Manxman (1929),Blackmail (1929),Murder (1930),The Skin Game (1931),Rich and Strange (1931),Number Seventeen (1932)
3.79,5.75,4.25,8.4,20.46,8.5,25.4,1.1,1.2
3.63,2.88,4.13,3.8,11.5,37.6,9.7,1.1,18.2
1.25,22.63,4.38,3.1,3.58,1.4,6,1.2,3.8
7.58,23.96,7.04,6,7.29,22,77.9,4.7,1.1
3.71,3.63,4.08,4.5,2.13,2.5,15.9,3,5.1
6.04,1.21,7.88,4.5,2.38,43,2.8,1.4,12.8
4.75,1.46,4.08,1.7,12.08,43.4,2.2,2.1,12.4
14.42,1.58,2,1.6,3.5,27.6,6.4,1.3,1.3
1.58,3.25,9.38,12.4,28.38,103.4,4.2,2.5,3.7
23.71,12.96,3.79,15.5,5.67,19.2,143.8,2.5,0.5
2.21,7.21,7.63,3.5,4.04,10.9,1.5,8.1,2
10,2,9.63,4.1,5.33,12.2,37.5,10.6,4.1
8.79,23.88,9.25,11.6,4.33,11.6,1.5,1.8,3.7
9.17,1.58,0.83,7.2,4.04,49.3,28.8,3.2,2.2
2.46,5.88,10.63,1.8,13.17,223.9,3.7,4.8,0.3
10.75,9.83,4.83,1.8,15.63,15.6,3.5,2.1,0.8
1.21,4.83,11.75,3.2,7.58,36,10.4,35.9,0.6
17.08,26.88,12.88,2.4,7.58,53.2,1.7,2.7,0.8
9.08,2.33,6.33,0.6,14.38,11,43.9,3.8,0.5
1.58,9.88,6.46,1.7,4.38,46.2,1.3,17.1,0.3
2.13,4.88,11.38,1.7,9.21,15.1,5,2.7,0.8
2.21,2.67,8.04,5.6,1.96,22.3,10.7,12.3,0.6
5.21,5.79,5.58,2,6.67,5.4,1.5,8.1,0.5
2.63,2.75,7.54,1.6,8.58,10.7,2.1,6,3.1
6.63,4.92,8.29,2.5,27.21,7,3.4,13.7,3.9
1.67,3.96,3,4.3,13.71,3.8,4.1,7.9,1.2
4.29,3,2.75,3.2,35.21,54.7,20.1,7.2,0.9
1.46,5.71,1.29,4.3,26.33,2.6,3.5,6.3,1.7
2,2.63,4.67,2.8,17.71,35.8,1,1.1,4.8
9.71,9.75,6.33,3.2,19.13,28.8,1.6,4.7,1.9
4.13,2.67,1.25,5.5,10.67,5.6,11.3,1,1
4.42,10.92,2.13,2.4,22.5,13.7,32.1,7.9,1.5
1.83,2.96,2.54,8.8,18.17,18,6,6.8,1
