genre,film,Normalised_time,Simplified
drama,Murder On The Orient Express,66,0.013623638293074114
drama,Murder On The Orient Express,67,0.09409707146206792
drama,Murder On The Orient Express,68,0.16969479252399844
drama,Murder On The Orient Express,69,0.23940074543705392
drama,Murder On The Orient Express,70,0.3022926748830246
drama,Murder On The Orient Express,71,0.35755556975774105
drama,Murder On The Orient Express,72,0.4044934933108566
drama,Murder On The Orient Express,73,0.4425396164821944
drama,Murder On The Orient Express,74,0.4712642984055868
drama,Murder On The Orient Express,75,0.49038108794400737
drama,Murder On The Orient Express,76,0.49975055201892293
drama,Murder On The Orient Express,77,0.4993818699074133
drama,Murder On The Orient Express,78,0.48943216708390036
drama,Murder On The Orient Express,79,0.4702035970441705
drama,Murder On The Orient Express,80,0.4421382143251986
drama,Murder On The Orient Express,81,0.40581071608310637
drama,Murder On The Orient Express,82,0.3619191625808482
drama,Murder On The Orient Express,83,0.31127381825191214
drama,Murder On The Orient Express,84,0.2547842841572072
drama,Murder On The Orient Express,85,0.19344511918344232
drama,Murder On The Orient Express,86,0.12832017082739644
drama,Murder On The Orient Express,87,0.0605258565032285
drama,Murder On The Orient Express,88,-0.008786347316073417
drama,Murder On The Orient Express,89,-0.07844793841435538
drama,Murder On The Orient Express,90,-0.1472916666708295
drama,Murder On The Orient Express,91,-0.21416977456447805
drama,Murder On The Orient Express,92,-0.27797191893113526
drama,Murder On The Orient Express,93,-0.337642497365946
drama,Murder On The Orient Express,94,-0.3921971117594416
drama,Murder On The Orient Express,95,-0.44073791470143
drama,Murder On The Orient Express,96,-0.48246760167891634
drama,Murder On The Orient Express,97,-0.5167018328668672
drama,Murder On The Orient Express,98,-0.5428798925404137
drama,Murder On The Orient Express,99,-0.5605734213484892
drama,Murder On The Orient Express,100,-0.5694930864597607
drama,Straight Outta Compton,1,-0.8196210147302851
drama,Straight Outta Compton,2,-0.8067293024295038
drama,Straight Outta Compton,3,-0.7811291786995612
drama,Straight Outta Compton,4,-0.7431846117980087
drama,Straight Outta Compton,5,-0.6934350092412842
drama,Straight Outta Compton,6,-0.6325874721379128
drama,Straight Outta Compton,7,-0.5615066461757188
drama,Straight Outta Compton,8,-0.48120231882374764
drama,Straight Outta Compton,9,-0.3928149454176769
drama,Straight Outta Compton,10,-0.29759931714783994
drama,Straight Outta Compton,11,-0.19690661110502283
drama,Straight Outta Compton,12,-0.09216508605380236
drama,Straight Outta Compton,13,0.015140292855271742
drama,Straight Outta Compton,14,0.12348900194543244
drama,Straight Outta Compton,15,0.23134657016716864
drama,Straight Outta Compton,16,0.3371863381235216
drama,Straight Outta Compton,17,0.4395110481322597
drama,Straight Outta Compton,18,0.5368739518205674
drama,Straight Outta Compton,19,0.6278991297624543
drama,Straight Outta Compton,20,0.7113007302367538
drama,Straight Outta Compton,21,0.7859008511038281
drama,Straight Outta Compton,22,0.8506458098054588
drama,Straight Outta Compton,23,0.9046205712562416
drama,Straight Outta Compton,24,0.9470611315308415
drama,Straight Outta Compton,25,0.9773646863234422
drama,Straight Outta Compton,26,0.9950974466836211
drama,Straight Outta Compton,27,1
drama,Straight Outta Compton,28,0.9919901510643538
drama,Straight Outta Compton,29,0.9711632157393835
drama,Straight Outta Compton,30,0.9377897776967781
drama,Straight Outta Compton,31,0.8923109563100642
drama,Straight Outta Compton,32,0.8353312705071603
drama,Straight Outta Compton,33,0.7676092186541779
drama,Straight Outta Compton,34,0.6900457278225591
drama,Straight Outta Compton,35,0.6036706565860408
drama,Straight Outta Compton,36,0.5096275633420719
drama,Straight Outta Compton,37,0.40915697664097994
drama,Straight Outta Compton,38,0.3035784247753892
drama,Straight Outta Compton,39,0.1942714986308438
drama,Straight Outta Compton,40,0.08265623428815227
drama,Straight Outta Compton,41,-0.029826890072859213
drama,Straight Outta Compton,42,-0.141737044891858
drama,Straight Outta Compton,43,-0.25165293053020776
drama,Straight Outta Compton,44,-0.3581921576811665
drama,Straight Outta Compton,45,-0.46002984539131686
drama,Straight Outta Compton,46,-0.5559161694141557
drama,Straight Outta Compton,47,-0.6446926118308447
drama,Straight Outta Compton,48,-0.7253066847801004
drama,Straight Outta Compton,49,-0.7968249263792824
drama,Straight Outta Compton,50,-0.8584439950819605
drama,Straight Outta Compton,51,-0.909499719349517
drama,Straight Outta Compton,52,-0.9494739921253468
drama,Straight Outta Compton,53,-0.9779994336706425
drama,Straight Outta Compton,54,-0.9948617813108489
drama,Straight Outta Compton,55,-1
drama,Straight Outta Compton,56,-0.9935041427812549
drama,Straight Outta Compton,57,-0.9756110246565148
drama,Straight Outta Compton,58,-0.9466978065407395
drama,Straight Outta Compton,59,-0.9072736173543353
drama,Straight Outta Compton,60,-0.8579693714175514
drama,Straight Outta Compton,61,-0.7995259647095228
drama,Straight Outta Compton,62,-0.7327810568420308
drama,Straight Outta Compton,63,-0.6586546654255172
drama,Straight Outta Compton,64,-0.5781338155803382
drama,Straight Outta Compton,65,-0.4922564994382336
drama,Straight Outta Compton,66,-0.4020952084204077
drama,Straight Outta Compton,67,-0.3087403047691262
drama,Straight Outta Compton,68,-0.213283498216849
drama,Straight Outta Compton,69,-0.1168016888368053
drama,Straight Outta Compton,70,-0.020341428134926454
drama,Straight Outta Compton,71,0.07509576251545735
drama,Straight Outta Compton,72,0.1685669936958052
drama,Straight Outta Compton,73,0.2592003277739794
drama,Straight Outta Compton,74,0.3462056377574161
drama,Straight Outta Compton,75,0.42888385215325253
drama,Straight Outta Compton,76,0.5066344610724534
drama,Straight Outta Compton,77,0.5789611888749215
