frame,frame_id,time,L,A,B,C,H,S,r,g,b,M3,cluster
122,image_000122,61,21.98788074,15.12248029,-29.32051463,32.99063345,297.2830757,83.21186689,47.65985231,47.0970784,96.3685067,40.93762064,Cluster  1
123,image_000123,61.5,22.03863974,15.19732379,-29.38765732,33.08463328,297.34497,83.22566833,47.83164382,47.16846732,96.596138,40.9492721,Cluster  1
124,image_000124,62,22.0446473,15.20375639,-29.39045373,33.09007231,297.3526394,83.22290123,47.85522495,47.17774635,96.61524663,40.89097051,Cluster  1
125,image_000125,62.5,22.06105901,15.2497675,-29.42950365,33.14590472,297.3922669,83.24697895,47.9282446,47.1893828,96.71548077,40.88621177,Cluster  1
126,image_000126,63,22.09010572,15.25356785,-29.43580507,33.15324807,297.393088,83.21899711,47.99705998,47.25054045,96.79652774,40.90297886,Cluster  1
127,image_000127,63.5,22.08416398,15.27113367,-29.4462291,33.17058693,297.4117432,83.2392496,48.00229507,47.22801234,96.7979837,40.94244463,Cluster  1
128,image_000128,64,22.08884065,15.24712022,-29.41907685,33.13542913,297.3964976,83.20670354,48.00747506,47.24960818,96.76797106,40.86422098,Cluster  1
129,image_000129,64.5,22.06435805,15.23458707,-29.4065519,33.1185423,297.3872175,83.22203857,47.94167825,47.20298055,96.68858739,40.8453261,Cluster  1
130,image_000130,65,22.06430459,15.22409546,-29.39918633,33.10717664,297.3769592,83.21331778,47.93157243,47.20849969,96.67713282,40.86641816,Cluster  1
131,image_000131,65.5,22.0343832,15.17994914,-29.35207399,33.04504516,297.3465512,83.19996951,47.84237372,47.16541571,96.53150949,40.82157483,Cluster  1
132,image_000132,66,22.02559809,15.15684514,-29.32827568,33.01329452,297.3299079,83.18556091,47.81111844,47.15781637,96.47350927,40.81285824,Cluster  1
133,image_000133,66.5,13.85149273,16.56623036,-27.49933807,32.10379281,301.0657208,91.81821004,33.85000331,28.84088574,74.1058489,47.6790022,Cluster  1
134,image_000134,67,13.82831167,16.54483481,-27.42442493,32.0285899,301.1020887,91.80854605,33.87210213,28.79681027,73.94311824,47.53563984,Cluster  1
135,image_000135,67.5,13.83594838,16.62633321,-27.499231,32.13475675,301.1576121,91.84823416,33.93068277,28.76812946,74.06992634,47.71315883,Cluster  1
136,image_000136,68,13.81259077,16.58166137,-27.40729817,32.03297388,301.1743139,91.82691089,33.93370666,28.73701648,73.8819754,47.54248749,Cluster  1
137,image_000137,68.5,13.80577761,16.5413287,-27.28773632,31.90981097,301.2234796,91.77842897,34.0278517,28.73227688,73.69337199,47.64306411,Cluster  1
138,image_000138,69,13.86038938,16.58764657,-27.40241337,32.03189357,301.1879967,91.77655696,34.06698859,28.82927594,73.98762195,47.78051089,Cluster  1
139,image_000139,69.5,13.83382858,16.63584311,-27.49018617,32.13193958,301.180468,91.84917569,33.95857675,28.75589538,74.05205069,47.73115393,Cluster  1
140,image_000140,70,13.77721314,16.64759004,-27.48325904,32.13209783,301.2047835,91.90796191,33.85748846,28.63175909,73.90887159,47.67547704,Cluster  1
141,image_000141,70.5,13.72986536,16.65570495,-27.46039664,32.11675296,301.2382972,91.950183,33.79672632,28.52649047,73.76459128,47.59120674,Cluster  1
142,image_000142,71,17.58476588,14.8105525,-25.60919064,29.58349224,300.0420633,85.9605035,42.13761894,37.4304635,80.17630695,53.61141616,Cluster  1
143,image_000143,71.5,17.1152166,14.75389017,-22.4235361,26.84198426,303.3434929,84.31780337,45.12312789,36.06800921,74.41593148,54.07379099,Cluster  1
144,image_000144,72,17.06458368,15.23116502,-22.59244866,27.24714648,303.9866884,84.7507006,45.61953772,35.67264297,74.55035726,54.84254973,Cluster  1
145,image_000145,72.5,16.87830306,19.69941621,-23.88787778,30.96284058,309.5110902,87.80209264,51.0235986,32.30950177,76.06940505,42.81368417,Cluster  1
146,image_000146,73,16.08643457,19.89904926,-21.90571055,29.59446041,312.251863,87.85934951,51.54756454,30.20194733,71.34870991,43.60194156,Cluster  1
147,image_000147,73.5,16.44597316,20.18094524,-22.54052388,30.25467792,311.8386658,87.85853411,52.16949742,30.83210926,73.10940742,44.58601365,Cluster  1
148,image_000148,74,16.52409807,20.44127016,-23.17754409,30.90378367,311.4104494,88.18538404,52.10070034,30.8862209,74.21829144,45.12166667,Cluster  1
149,image_000149,74.5,16.16024396,20.28232254,-21.7064292,29.70759894,313.0574749,87.84406993,52.48119122,30.02945926,71.24086667,45.37983356,Cluster  1
150,image_000150,75,16.22635115,20.3187731,-22.01587468,29.95915618,312.7043652,87.93106977,52.38813965,30.18469613,71.84134161,45.46035698,Cluster  1
151,image_000151,75.5,10.59593774,15.34720127,-25.67604373,29.91313693,300.8677963,94.26103422,26.67708377,22.86630149,63.91484956,41.11717808,Cluster  1
